season,category,rank,player,slug,headshot_id,INT,INT TD,INT Yds,Lng
2025,interceptions,162,Roger McCreary,roger-mccreary,elq9ou82mtnczfos63em,1,0,0,0
2025,interceptions,163,Isaiah McDuffie,isaiah-mcduffie,fjcqgmefc4u0plwp92mq,1,0,0,0
2025,interceptions,164,Trent McDuffie,trent-mcduffie,xaq30zfwnliekwqzoank,1,0,2,2
2025,interceptions,165,Ifeatu Melifonwu,ifeatu-melifonwu,ftt7jc1nr0hmf1xmzyh2,1,0,0,0
2025,interceptions,166,Ventrell Miller,ventrell-miller,gmxgq1mjnbdjjpcggamn,1,0,0,0
2025,interceptions,167,Tre'von Moehrig,trevon-moehrig,cyprwi2vzj1a3oitgseo,1,0,36,36
2025,interceptions,168,Elijah Molden,elijah-molden,hz9saur2at7u0n9nl9ly,1,0,0,0
2025,interceptions,169,Kenny Moore II,kenny-moore,ji3hdoi86xonnhxlr6gl,1,1,32,32
2025,interceptions,170,Riley Moss,riley-moss,o8jxuxi7vqa9kxt0rawn,1,0,0,0
2025,interceptions,171,Eric Murray,eric-murray,azsral4artrpwkjhh7cy,1,0,12,12
2025,interceptions,172,Malik Mustapha,malik-mustapha,pufbixooejmh540h5qhi,1,0,0,0
2025,interceptions,173,Anthony Nelson,anthony-nelson,b6hjuuemwgsh8q7lmadz,1,1,3,3
2025,interceptions,174,Greg Newsome II,greg-newsome-ii,zyfy3onrys9i6ounvai8,1,0,0,0
2025,interceptions,175,Keisean Nixon,keisean-nixon,ousxob0dqjxxmcalq8aa,1,0,0,0
2025,interceptions,176,Ty Okada,ty-okada,dpnc6udwdhtrsq898nec,1,0,0,0
2025,interceptions,177,Foye Oluokun,foye-oluokun,ldsewkhf1k2uxwcud0bj,1,0,0,0
2025,interceptions,178,James Pierre,james-pierre,ejlisynlop21gglz3zbh,1,0,9,9
2025,interceptions,179,Joey Porter Jr.,joey-porter-jr,pcan3dqynqusx1ltmecf,1,0,0,0
2025,interceptions,180,Jordan Poyer,jordan-poyer,jv5ibhkljw1u9knlwqzy,1,0,10,10
2025,interceptions,181,Germaine Pratt,germaine-pratt,genaletbuldhonkf0zlc,1,0,0,0
2025,interceptions,182,Jalen Ramsey,jalen-ramsey,pjozgun3xstol72jfoow,1,0,2,2
2025,interceptions,183,Lathan Ransom,lathan-ransom,gg0ztjfsso4y7yx4fxfb,1,0,5,5
2025,interceptions,184,Jeremy Reaves,jeremy-reaves,kwmtxcogvel516q4ws86,1,0,28,28
2025,interceptions,185,Justin Reid,justin-reid,ysi7vrkwfhei6adamgb3,1,1,49,49
2025,interceptions,186,Quincy Riley,quincy-riley,q4qlahpfgvbren4xt0pj,1,0,0,0
2025,interceptions,187,Amik Robertson,amik-robertson,giptmuhxwq2ugaaettbg,1,0,2,2
2025,interceptions,188,Isaiah Rodgers,isaiah-rodgers,ukadn9uyrajapqo6gxuj,1,1,87,87
2025,interceptions,189,Christian Roland-Wallace,christian-roland-wallace,foy9ykwmm3vcqgfviowz,1,0,23,23
2025,interceptions,190,Christian Rozeboom,christian-rozeboom,zuetviyilmxazi5dhts2,1,0,20,20
2025,interceptions,191,Asante Samuel Jr.,asante-samuel-jr,pqualt9wauuhcaop7tqm,1,0,0,0
2025,interceptions,192,Nick Scott,nick-scott,rxmve4vvejz6looxumrw,1,0,0,0
2025,interceptions,193,Tykee Smith,tykee-smith,thib1riuixa3whhe6ohv,1,0,0,0
2025,interceptions,194,Chau Smith-Wade,chau-smith-wade,hkbpogql05pnyegi6itv,1,1,11,11
2025,interceptions,195,Charles Snowden,charles-snowden,lwfjnx5rgx1hanfqfnl7,1,0,18,18
2025,interceptions,196,Tyrique Stevenson,tyrique-stevenson,l0xpg0hpxsepfootn0sq,1,0,3,3
2025,interceptions,197,Grover Stewart,grover-stewart,hevbchcmeeujuwjcyjqv,1,0,3,3
2025,interceptions,198,Benjamin St-Juste,benjamin-st-juste,kaebn8lqtuhjgcoywxuz,1,0,0,0
2025,interceptions,199,Justin Strnad,justin-strnad,mlrmzoeod0ocotxp2nam,1,0,21,21
2025,interceptions,200,Pat Surtain II,patrick-surtain-ii,soec8zk3n5jvxvywq1gm,1,0,0,0
2025,interceptions,201,T.J. Tampa,t-j-tampa,poanrufasprugy1q1ulq,1,0,0,0
2025,interceptions,202,Drake Thomas,drake-thomas,rmsrwh97imnsmq3lw1xm,1,0,0,0
2025,interceptions,203,Kobie Turner,kobie-turner,lallpvcrevuemqxzmyuu,1,0,10,10
2025,interceptions,204,Andrew Van Ginkel,andrew-van-ginkel,vbpdlib647tcpzz59wyt,1,0,40,40
2025,interceptions,205,Kyle Van Noy,kyle-van-noy,kxj2hipcguahh4l60vaa,1,0,11,11
2025,interceptions,206,Kindle Vildor,kindle-vildor,ep3iocz1qboqkcj16aoc,1,0,13,13
2025,interceptions,207,Josh Wallace,josh-wallace,rl9xt27qup1xfmv1h1gc,1,0,56,56
2025,interceptions,208,Denzel Ward,denzel-ward,mmp5gacrbeeolrsgg5wm,1,0,13,13
2025,interceptions,209,Devin White,devin-white,oqv87a7jn67zgnlplnbp,1,0,0,0
2025,interceptions,210,Tre'Davious White,tre-davious-white,uxwbh1qimnyieywlu6ic,1,0,0,0
2025,interceptions,211,Quinnen Williams,quinnen-williams,lijqxjhytjakehnusgmn,1,0,0,0
2025,interceptions,212,Darious Williams,darious-williams,nzrgn9doxy57s7si8uyf,1,0,18,18
2025,interceptions,213,Garrett Williams,garrett-williams,av20qv7vnk7arcnw25bd,1,0,0,0
2025,interceptions,214,Mack Wilson,mack-wilson,zjazfilpr7k2agiwqpxn,1,0,9,9
2025,interceptions,215,Payton Wilson,payton-wilson,zgvgobg9xpibsa2sofyw,1,0,17,17
2025,interceptions,216,Andrew Wingard,andrew-wingard,lueoe3vqsknnvax0gnmf,1,0,39,39
2025,interceptions,217,Dee Winters,dee-winters,xlebnylgre4ogpnnl4na,1,1,74,74
2025,interceptions,218,Devon Witherspoon,devon-witherspoon,po6rkbe4pjei7hycg2nu,1,0,3,3
2025,interceptions,219,Ahkello Witherspoon,ahkello-witherspoon,m6xxy6xiebkbfwteth6n,1,0,0,0
2025,interceptions,220,D.J. Wonnum,d-j-wonnum,ajj965d0f6fmtfprrsgo,1,0,0,0
2025,interceptions,221,Riq Woolen,tariq-woolen,aodr0vp93fzhdsff9fzj,1,0,30,30
