season,category,rank,player,slug,headshot_id,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
2025,kickoff-returns,144,Roschon Johnson,roschon-johnson,xbham6uvckkshpntb8oj,22,1,22,0,1,0,22,0,0
2025,kickoff-returns,145,Corey Kiner,corey-kiner,tpnamrgzfbytwlzhhyf8,22,1,22,0,1,0,22,0,0
2025,kickoff-returns,146,Dominic Lovett,dominic-lovett,ccplcgivzomevih1erpl,22,1,22,0,1,0,22,0,0
2025,kickoff-returns,147,Ty Johnson,ty-johnson-x3152,zruhihypizhtgpvsaj3c,21.8,11,240,0,8,0,31,0,0
2025,kickoff-returns,148,Devin Neal,devin-neal,set0xwgpkp0k3bofcpzn,21.7,7,152,0,5,0,31,0,0
2025,kickoff-returns,149,Bam Knight,bam-knight,mjxnlzlnnwlfqayeybut,21.3,12,256,0,9,0,28,0,0
2025,kickoff-returns,150,Dee Alford,deaundre-ford,mgi0d5fd1huslr3kfqg1,21,1,21,0,1,0,21,0,0
2025,kickoff-returns,151,Jalen Tolbert,jalen-tolbert,dthrzudnyh1mcrh1det2,21,5,105,0,4,0,30,0,0
2025,kickoff-returns,152,Gary Brightwell,gary-brightwell,cwvxh10m5jw2gkbahtck,20.8,4,83,0,2,0,26,0,0
2025,kickoff-returns,153,Tank Bigsby,tank-bigsby,vfkdjfpiyrcuzahrmfvn,20.7,10,207,0,6,0,31,0,0
2025,kickoff-returns,154,Eric Gray,eric-gray,ijjxwxv1ccyowzhpuw2k,20.5,2,41,0,1,0,26,0,0
2025,kickoff-returns,155,Wan'Dale Robinson,wan-dale-robinson,yzcvyhmilvxedfjfjglc,20.5,2,41,0,2,0,21,0,0
2025,kickoff-returns,156,Isaac Guerendo,isaac-guerendo,uy1bdu0dokosyzl4ohmi,20,5,100,0,2,0,25,0,0
2025,kickoff-returns,157,D'Shawn Jamison,d-shawn-jamison,tpz66swcddlot6x1lcfz,20,1,20,0,1,0,20,0,0
2025,kickoff-returns,158,Rhamondre Stevenson,rhamondre-stevenson,zmpuirvuw4r04inxth5i,20,2,40,0,1,0,23,0,0
2025,kickoff-returns,159,Sione Vaki,sione-vaki,abqcluf2gbejhiyjjtoz,19.5,2,39,0,1,0,29,0,0
2025,kickoff-returns,160,Natrone Brooks,natrone-brooks,swxxv6yxfspw2vyrjxgv,19.2,15,288,0,9,0,26,0,1
2025,kickoff-returns,161,Jalen Moreno-Cropper,jalen-moreno-cropper,key7qkukzlgva9oz7k2r,19,2,38,0,1,0,21,0,0
2025,kickoff-returns,162,Jaylin Lane,jaylin-lane,fa5ufxqxs3hzioih3cfb,18.7,3,56,0,2,0,30,0,1
2025,kickoff-returns,163,John Metchie III,john-metchie,nsjpnskeldxzbzckpfgg,17.1,7,120,0,4,0,26,0,0
2025,kickoff-returns,164,Jeremy McNichols,jeremy-mcnichols,xcrgrtlk6ukrshtlnr5e,14.5,2,29,0,0,0,15,0,0
2025,kickoff-returns,165,AJ Dillon,a-j-dillon,imxxt8yrbrxptoxr1hw5,12.5,2,25,0,1,0,25,0,0
2025,kickoff-returns,166,Nate Carter,nate-carter,c7wg2qvjvd8diaaujwpt,-1,1,-1,0,0,0,-1,0,0
